repo,pr_id,ast_node_count,cfg_node_count,ast_density,cfg_density
pytorch/pytorch,188607,272,272,4.387096774193548,4.387096774193548
pytorch/pytorch,188606,59,59,2.6818181818181817,2.6818181818181817
pytorch/pytorch,188605,147,147,3.127659574468085,3.127659574468085
pytorch/pytorch,188604,1,1,1.0,1.0
pytorch/pytorch,188603,49,39,1.5806451612903225,1.2580645161290323
pytorch/pytorch,188601,77,66,1.711111111111111,1.4666666666666666
pytorch/pytorch,188600,54,54,1.8,1.8
pytorch/pytorch,188599,1,1,1.0,1.0
pytorch/pytorch,188598,32,32,1.0,1.0
pytorch/pytorch,188597,280,241,1.627906976744186,1.4011627906976745
pytorch/pytorch,188596,132,132,3.8823529411764706,3.8823529411764706
pytorch/pytorch,188595,131,131,4.09375,4.09375
pytorch/pytorch,188594,7,7,2.3333333333333335,2.3333333333333335
pytorch/pytorch,188593,241,241,2.2523364485981308,2.2523364485981308
pytorch/pytorch,188592,8,8,1.0,1.0
pytorch/pytorch,188591,11,11,0.9166666666666666,0.9166666666666666
pytorch/pytorch,188590,21,18,1.3125,1.125
pytorch/pytorch,188589,6,5,1.0,0.8333333333333334
pytorch/pytorch,188588,1047,1047,6.933774834437086,6.933774834437086
pytorch/pytorch,188587,813,709,1.2393292682926829,1.0807926829268293
pytorch/pytorch,188586,1716,1478,1.170532060027285,1.0081855388813097
pytorch/pytorch,188585,1642,1312,1.491371480472298,1.1916439600363307
pytorch/pytorch,188584,1150,944,1.3248847926267282,1.087557603686636
pytorch/pytorch,188583,1123,987,1.1637305699481866,1.0227979274611398
pytorch/pytorch,188582,1514,1263,1.2896081771720613,1.075809199318569
pytorch/pytorch,188581,271,271,6.609756097560975,6.609756097560975
pytorch/pytorch,188580,2,2,1.0,1.0
pytorch/pytorch,188579,42,42,1.4482758620689655,1.4482758620689655
pytorch/pytorch,188577,114,110,1.9655172413793103,1.896551724137931
pytorch/pytorch,188576,527,523,4.319672131147541,4.286885245901639
pytorch/pytorch,188575,151,151,3.5952380952380953,3.5952380952380953
pytorch/pytorch,188574,63,63,1.0,1.0
pytorch/pytorch,188573,30,30,2.5,2.5
pytorch/pytorch,188572,303,303,2.72972972972973,2.72972972972973
pytorch/pytorch,188571,370,302,1.6591928251121075,1.3542600896860986
pytorch/pytorch,188570,637,623,4.423611111111111,4.326388888888889
pytorch/pytorch,188569,47,47,0.8703703703703703,0.8703703703703703
pytorch/pytorch,188568,1,1,1.0,1.0
pytorch/pytorch,188566,470,470,8.392857142857142,8.392857142857142
pytorch/pytorch,188565,506,428,1.6063492063492064,1.3587301587301588
