repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
pytorch/pytorch,188799,2,94,3,1613,1674,0,0,False,5,1744,17,458,458,4.872340425531915,4.872340425531915,False
pytorch/pytorch,188797,30,0,1552,551,1097,0,0,False,16,1144,0,0,0,0.0,0.0,False
pytorch/pytorch,188795,3,77,11,56,278,0,0,False,4,356,5,71,71,0.922077922077922,0.922077922077922,False
pytorch/pytorch,188794,4,142,52,71,581,0,0,False,6,675,11,137,137,0.958041958041958,0.958041958041958,False
pytorch/pytorch,188793,1,4,3,2477,2505,2,1,False,5,2546,0,6,5,1.5,1.25,False
pytorch/pytorch,188791,1,27,0,2994,1555,0,0,False,3,1630,0,35,30,1.2962962962962965,1.1111111111111112,False
pytorch/pytorch,188789,4,276,0,130,94,0,0,False,2,160,4,312,274,1.1304347826086956,0.9927536231884058,False
pytorch/pytorch,188788,4,65,4,41,643,1,1,False,4,700,16,252,250,3.876923076923077,3.8461538461538463,False
pytorch/pytorch,188787,2,2,2,25,165,0,0,False,4,194,0,2,2,1.0,1.0,False
pytorch/pytorch,188785,2,2,2,25,372,1,0,False,3,407,0,2,2,1.0,1.0,False
pytorch/pytorch,188784,3,351,11,95,1589,0,0,False,3,1650,23,516,446,1.2315035799522671,1.0644391408114555,False
pytorch/pytorch,188783,1,6,5,322,569,1,1,False,5,632,1,5,5,0.8333333333333334,0.8333333333333334,False
pytorch/pytorch,188782,1,13,0,1494,554,0,0,False,0,605,0,14,13,1.0769230769230769,1.0,False
pytorch/pytorch,188781,1,13,0,1435,593,0,0,False,0,660,0,14,13,1.0769230769230769,1.0,False
pytorch/pytorch,188780,1,13,0,1435,1354,0,0,False,0,1410,0,14,13,1.0769230769230769,1.0,False
pytorch/pytorch,188779,2,44,2,26,475,2,1,False,5,525,6,126,117,2.863636363636364,2.659090909090909,False
pytorch/pytorch,188778,2,31,20,686,1041,1,1,False,4,1087,1,29,29,0.935483870967742,0.935483870967742,False
pytorch/pytorch,188771,4,62,12,5466,3607,0,0,False,5,3683,4,105,105,2.019230769230769,2.019230769230769,False
pytorch/pytorch,188769,1,1,1,105,23,1,1,False,6,103,0,1,1,1.0,1.0,False
pytorch/pytorch,188766,1,20,2,52,506,1,0,False,5,567,0,20,20,1.0,1.0,False
pytorch/pytorch,188764,2,60,6,49,13668,2,1,True,5,13679,4,433,430,7.216666666666667,7.166666666666667,False
pytorch/pytorch,188763,2,95,11,1114,1127,0,0,False,1,1186,8,84,84,0.8842105263157894,0.8842105263157894,False
pytorch/pytorch,188762,3,31,1,2545,1564,1,0,False,3,1645,1,171,168,5.516129032258065,5.419354838709677,False
pytorch/pytorch,188761,1,9,1,398,1114,0,0,False,2,1173,1,7,7,0.7777777777777778,0.7777777777777778,False
pytorch/pytorch,188760,2,9,1,702,1020,0,0,False,5,1083,0,9,9,1.0,1.0,False
pytorch/pytorch,188759,9,136,70,26,2667,0,0,False,6,2737,6,244,244,1.7941176470588236,1.7941176470588236,False
pytorch/pytorch,188758,3,18,1,1784,1720,0,0,False,5,1785,3,60,60,3.333333333333333,3.333333333333333,False
